<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.12.26	150154	151661	148463	149822	15407786	53233547	1
2022.01.02	150572	151775	143757	146347	27376170	93494871	1
2022.01.09	145625	152822	143998	152822	27206227	101034903	1
2022.01.16	152362	156402	150232	155037	26833702	98663967	1
2022.01.23	154195	160740	151619	159127	36774711	124212478	1
2022.01.30	159169	161525	156431	158907	27171149	89685313	1
2022.02.06	158999	162735	157159	161051	28419222	91186934	1
2022.02.13	159919	163982	159494	159633	24306340	77103539	1
2022.02.20	159857	160962	153886	159759	26660965	86423342	1
2022.02.27	161158	163821	160172	161626	12335710	40022572	1
2022.03.06	161004	161843	156354	157872	28375408	92868331	1
2022.03.13	157662	162339	151817	162032	25895428	84149750	1
2022.03.20	161787	168282	161689	167492	21001485	70722881	1
2022.03.27	167800	170911	165793	170596	19773281	68901037	1
2022.04.03	170932	171016	163486	165465	22470734	75588859	1
2022.04.10	164619	165828	161587	162040	17406899	53892619	1
2022.04.17	161814	162501	154261	155155	16860592	53904183	1
2022.04.24	153018	155856	149018	149808	25397115	81579153	1
2022.05.01	149424	151217	144400	146139	30518103	91450284	1
2022.05.08	144022	149547	142112	148104	29874527	88755630	1
2022.05.15	147850	152269	146372	150372	26477164	81062464	1
2022.05.22	151251	155416	149980	154577	22939308	70729778	1
2022.05.29	155601	156241	152564	153588	22492275	70805255	1
2022.06.05	154708	154942	143878	144929	25189569	79560949	1
2022.06.12	142387	142998	135079	136453	24196960	72937962	1
2022.06.19	136614	138533	133578	135463	26424235	81329004	1
2022.06.26	136136	139900	132716	135611	28713083	88606910	1
2022.07.03	134911	138446	131612	136561	25271272	78816829	1
2022.07.10	135369	135625	129478	131376	25005928	79972158	1
2022.07.17	132837	135308	131309	134595	22424805	71668496	1
2022.07.24	135214	140923	134675	139449	20449426	66277496	1
2022.07.31	139806	144923	137476	143691	23642348	75165338	1
2022.08.07	144418	152039	144290	151770	24533723	74783895	1
2022.08.14	150141	153938	149159	149185	22611280	71921560	1
2022.08.21	148260	153151	147685	150897	22891162	72950171	1
2022.08.28	149939	151922	144915	148524	26783349	83109860	1
2022.09.04	148346	150772	145114	150111	21035884	62984300	1
2022.09.11	151010	152550	144651	145947	27248058	83311003	1
2022.09.18	144314	152305	144069	148379	29078770	88484247	1
2022.09.25	147434	147817	140831	146608	30478550	93160599	1
2022.10.02	151175	157104	150184	155002	26989150	83188216	1
2022.10.09	154619	155200	147700	147901	20697045	66759290	1
2022.10.16	149421	159588	148674	158997	24552905	84052040	1
2022.10.23	158289	158302	148375	152078	27923152	87544780	1
2022.10.30	146823	158003	146173	154969	24891960	70820538	1
2022.11.06	155976	156282	142314	147648	30867852	85719540	1
2022.11.13	147024	150019	140462	142392	25447939	70403778	1
2022.11.20	142379	147375	141028	142041	27830682	81103718	1
2022.11.27	141041	148382	140216	145829	26780371	79224892	1
2022.12.04	146582	146615	139001	140040	26380632	79464191	1
2022.12.11	140190	140190	131705	133072	28941498	84336178	1
2022.12.18	133440	142114	132417	141612	27492919	79735907	1
2022.12.25	141370	143416	138454	141110	18083762	50234335	1
2023.01.01	140303	140830	133402	140557	25491093	75120139	1
2023.01.08	138949	145119	138269	142324	26522115	79474348	1
2023.01.15	141192	145310	139420	143683	24136110	72299523	1
2023.01.22	143861	146892	142171	143429	24147055	73195579	1
2023.01.29	143111	145215	137844	138308	25894193	76896652	1
2023.02.05	137698	140900	136134	137323	27869955	83582478	1
2023.02.12	137475	140464	136397	138512	23831788	76707084	1
2023.02.19	137499	138099	133645	134502	11096335	37802588	1
2023.02.26	135084	135471	130604	131311	25437183	82651216	1
2023.03.05	131136	135140	130329	131073	24907508	82829786	1
2023.03.12	130823	131567	126988	128420	26664851	84260623	1
2023.03.19	128583	128983	121688	124554	22110025	73941833	1
2023.03.26	125073	130979	124535	127501	21332919	70465614	1
2023.04.02	127932	129284	125198	126794	17174929	58950899	1
2023.04.09	126543	135661	126187	133598	22494675	73386329	1
2023.04.16	133697	134304	128607	130332	16884189	57673056	1
2023.04.23	129730	130879	126998	129239	19955715	67278768	1
2023.04.30	129147	131321	125641	130872	18128968	61508838	1
2023.05.07	131511	134986	130829	134642	20808005	73329673	1
2023.05.14	135195	137681	133562	136852	20724313	74310630	1
2023.05.21	136607	138203	134040	136938	22202270	78517391	1
2023.05.28	137282	139339	133445	139001	20692110	71112899	1
2023.06.04	138694	144699	137534	143845	16036674	56127503	1
2023.06.11	144220	147267	142961	145846	21475347	71857597	1
2023.06.18	145804	148008	144768	146015	21538481	69885927	1
2023.06.25	145707	146418	142594	143949	23285275	75633729	1
2023.07.02	144533	146942	142925	144696	22170101	71778009	1
2023.07.09	144467	145966	140973	143298	22955228	73109385	1
2023.07.16	142985	146394	141762	146394	23389498	76260862	1
2023.07.23	146021	149683	144659	145418	23201959	74701177	1
2023.07.30	146225	148363	143997	144406	25418828	85532257	1
2023.08.06	144744	145147	141600	142491	24728196	82499997	1
2023.08.13	142347	142419	137690	138493	24422492	82884694	1
2023.08.20	139178	142314	137117	139007	22691511	78008741	1
2023.08.27	139355	142426	138629	140619	21729795	72082774	1
2023.09.03	140896	141882	137034	137708	16735551	56046894	1
2023.09.10	138670	142880	138115	141705	21174471	75018367	1
2023.09.17	141428	142550	137749	138310	22238225	81591628	1
2023.09.24	137471	139042	134619	138446	22635948	81418561	1
2023.10.01	138180	138528	132109	135464	25454489	89554011	1
2023.10.08	134188	139001	133975	136851	18313419	65022457	1
2023.10.15	137471	138221	132818	133493	25110965	91598011	1
2023.10.22	132935	135924	132225	133714	27629315	97851691	1
2023.10.29	134400	139431	131917	139326	20689968	74555226	1
2023.11.05	139169	141914	138407	141728	23456267	88384578	1
2023.11.12	141385	147067	140582	146433	17363948	63336552	1
2023.11.19	146747	148567	146375	146950	18993009	68770634	1
2023.11.26	146665	149637	145956	149422	20667905	77806673	1
2023.12.03	148806	149108	146171	147997	22238277	80688235	1
2023.12.10	147863	152963	146566	151317	19750004	72334219	1
2023.12.17	151465	154290	151460	153804	17876349	65942581	1
2023.12.24	154107	155639	153832	155353	7923541	29032693	1
2023.12.31	154667	154782	150768	152689	16008980	59978162	1
2024.01.07	151911	153295	149750	150956	21133776	75673031	1
2024.01.14	150602	151900	145570	146662	19316672	74072169	1
2024.01.21	146891	148909	144753	147892	20520762	79516496	1
2024.01.28	148240	148732	145073	145896	21863259	84871721	1
2024.02.04	145599	149933	144787	146445	20758916	80868564	1
2024.02.11	145456	147417	144720	147041	10424794	39489111	1
2024.02.18	146630	149480	146203	147811	18462653	72075178	1
2024.02.25	147496	150154	146366	146670	18520993	71696014	1
2024.03.03	146872	147091	142849	144203	19973693	77190831	1
2024.03.10	143517	145816	143000	143287	20970672	80533455	1
2024.03.17	144085	146844	143040	143455	19547524	77826788	1
2024.03.24	143579	145001	142545	144692	13539952	53131648	1
2024.03.31	144860	146237	142275	142933	21843880	88842795	1
2024.04.07	143130	147659	141303	141579	24420698	94569086	1
2024.04.14	142247	142495	138484	140489	25968808	98746213	1
2024.04.21	141038	142096	138539	141819	23159733	86025597	1
2024.04.28	141808	144384	140838	144229	18004637	67138392	1
2024.05.05	144495	145713	142245	142628	20999187	80548927	1
2024.05.12	143226	144029	141387	143148	21961419	83737531	1
2024.05.19	143315	143514	137952	137952	23942352	90649429	1
2024.05.26	138284	139824	135409	135969	15865881	60968499	1
2024.06.02	136124	136794	133382	133625	23511206	88404688	1
2024.06.09	133725	135972	131459	132577	25704725	92322034	1
2024.06.16	132451	134517	131116	134294	24022518	85755655	1
2024.06.23	134185	137488	133890	136539	23201693	86004971	1
2024.06.30	136921	139799	136327	139276	22449197	83584101	1
2024.07.07	139101	141881	138218	141859	22647216	81722314	1
2024.07.14	141663	142366	139428	139428	19438570	72000360	1
2024.07.21	139973	140573	137559	139788	17791677	68527003	1
2024.07.28	139662	140982	137455	138202	18264385	71043304	1
2024.08.04	134948	142987	134228	142797	23150258	84029244	1
2024.08.11	142808	147035	142704	146129	17934730	67636936	1
2024.08.18	146290	149219	146258	147786	18774776	71638603	1
2024.08.25	148017	149583	146445	148081	19211229	74479894	1
2024.09.01	147250	148891	145480	145818	20161018	75532127	1
2024.09.08	146445	147073	144541	145925	18217969	67823468	1
2024.09.15	146166	146858	141199	141199	21278399	77236344	1
2024.09.22	140974	144402	140384	143087	20719786	73146285	1
2024.09.29	143457	145351	140904	141843	23494621	82299581	1
2024.10.06	141521	143066	138801	139761	20430676	74141296	1
2024.10.13	139579	141668	138849	139507	20255915	75115104	1
2024.10.20	139328	140356	137525	138632	21419080	80681992	1
2024.10.27	138758	140825	136012	136196	18782508	71747078	1
2024.11.03	137071	139881	134989	135880	22854343	86053885	1
2024.11.10	135437	136481	134773	135616	17107332	63036685	1
2024.11.17	135859	137530	134277	137240	17406199	62442115	1
2024.11.24	137382	138120	131172	132870	23205556	79273370	1
2024.12.01	133181	135379	131905	132959	21714080	77104668	1
2024.12.08	133634	138431	131367	131799	21698031	76144250	1
2024.12.15	131599	132253	126726	128699	23140673	73855846	1
2024.12.22	128185	128310	125958	126197	10296919	32174086	1
2024.12.29	126166	127105	124063	124084	10816600	33880349	1
2025.01.05	124525	127568	124245	124655	18888866	62100978	1
2025.01.12	124380	128715	123622	127588	18991955	65763159	1
2025.01.19	127625	129556	126934	127832	17772997	60423084	1
2025.01.26	127043	132925	126877	131612	18986173	63456838	1
2025.02.02	130537	131768	129089	129717	18850006	61066204	1
2025.02.09	129899	133371	128375	132877	18018475	60389802	1
2025.02.16	132872	134389	130830	131558	16628924	56178142	1
2025.02.23	131838	132184	126603	127168	19124839	63566266	1
2025.03.02	127514	129826	126002	129047	11467761	36730216	1
2025.03.09	128390	132974	126266	132500	21094342	70856363	1
2025.03.16	132500	136951	132301	135581	19602849	63279305	1
2025.03.23	136386	137140	134374	135184	19949161	66199438	1
2025.03.30	134384	135887	129180	130020	23532781	74274093	1
2025.04.06	127983	132373	124835	130295	35384888	94018651	1
2025.04.13	130987	132600	130270	131875	19911548	60582552	1
2025.04.20	132140	137430	130940	137265	17688602	58592148	1
