<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.09.05	6616.940	6799.915	6573.103	6693.815	4084366	13702482	1
2021.09.12	6674.755	6808.174	6623.293	6731.299	4716748	15931574	1
2021.09.19	6773.866	6845.658	6680.473	6789.114	4581436	14943191	1
2021.09.26	6767.513	6957.755	6749.088	6814.805	4817371	17507717	1
2021.10.03	6842.003	7031.128	6825.558	6995.074	4631646	15826540	1
2021.10.10	6979.261	7070.344	6890.708	6926.129	3468403	12479449	1
2021.10.17	6932.454	7289.197	6928.026	7157.000	5511058	19488933	1
2021.10.24	7161.428	7169.018	7007.724	7122.967	5075537	17386566	1
2021.10.31	7114.794	7202.180	6950.079	6997.859	3687516	12077165	1
2021.11.07	7017.977	7067.643	6797.309	6886.582	4741189	14964579	1
2021.11.14	6865.836	7072.043	6845.718	7071.415	3526306	11351502	1
2021.11.21	7055.698	7129.253	6981.513	7058.841	4306115	13623777	1
2021.11.28	7041.238	7163.087	7012.528	7103.738	4708287	15060950	1
2021.12.05	7091.868	7164.336	6928.190	7045.014	4365152	14312717	1
2021.12.12	7033.144	7191.199	7027.522	7133.100	4662684	14574418	1
2021.12.19	7152.466	7206.817	7041.266	7085.621	3076320	9711156	1
2021.12.26	7084.996	7136.848	6932.030	6962.431	2650439	8199424	1
2022.01.02	6960.570	7143.596	6942.577	7030.678	4314366	12808072	1
2022.01.09	7039.984	7097.684	6850.754	6891.082	4652637	14021392	1
2022.01.16	6892.943	6947.541	6688.202	6786.850	4500360	14503070	1
2022.01.23	6808.565	6866.265	6646.013	6664.006	4996890	16943752	1
2022.01.30	6644.930	6689.849	6510.789	6595.089	4295522	14472271	1
2022.02.06	6577.860	6586.474	6392.031	6488.637	5161739	15691541	1
2022.02.13	6488.637	6504.020	6292.347	6333.574	4797411	14719259	1
2022.02.20	6326.190	6390.273	6150.207	6376.821	5434296	17828839	1
2022.02.27	6442.246	6442.246	6189.717	6236.187	3113378	9420815	1
2022.03.06	6254.530	6300.389	6130.406	6242.301	5529670	17081429	1
2022.03.13	6217.843	6352.974	6129.183	6168.316	5010877	16033599	1
2022.03.20	6171.373	6173.208	5794.108	5810.617	5329796	17253179	1
2022.03.27	5805.114	5901.112	5684.146	5689.603	5283950	16925343	1
2022.04.03	5687.178	5842.982	5593.210	5727.190	5477951	16423050	1
2022.04.10	5744.165	5776.296	5629.584	5719.915	4410599	13316610	1
2022.04.17	5702.334	5879.357	5601.697	5826.008	4206100	13794385	1
2022.04.24	5851.470	6120.036	5833.282	6031.785	7033688	21128453	1
2022.05.01	6022.169	6193.458	5930.815	6149.584	7251851	19944163	1
2022.05.08	6226.514	6296.833	6096.094	6116.529	6805728	18775411	1
2022.05.15	6135.160	6164.009	5850.279	5881.532	6153515	18260479	1
2022.05.22	5835.855	5856.289	5669.975	5688.005	5508424	16808250	1
2022.05.29	5666.969	5804.447	5640.525	5735.318	5009396	15248393	1
2022.06.05	5715.056	6008.854	5703.137	5980.249	5730677	17623554	1
2022.06.12	6038.055	6170.949	6006.470	6164.990	5257234	15836257	1
2022.06.19	6159.030	6300.268	6119.102	6262.128	5151729	16074277	1
2022.06.26	6257.360	6361.408	6173.333	6353.131	5614172	17370601	1
2022.07.03	6317.068	6503.298	6247.305	6252.035	5218039	15428466	1
2022.07.10	6317.659	6521.035	6301.696	6422.303	5761592	17004865	1
2022.07.17	6379.145	6535.224	6351.949	6513.940	5859815	17844143	1
2022.07.24	6481.424	6487.927	6078.184	6110.957	6141414	19201714	1
2022.07.31	6091.059	6271.895	6057.701	6088.718	6349140	19478647	1
2022.08.07	6064.139	6086.963	5928.951	5968.746	5714066	18283051	1
2022.08.14	6014.394	6129.684	5969.332	6071.161	5220515	16955684	1
2022.08.21	6084.622	6109.201	5923.684	5934.803	5476327	17756946	1
2022.08.28	5952.945	6154.323	5866.331	6048.575	6102201	20745125	1
2022.09.04	6063.682	6143.864	6009.645	6016.037	4162457	12703844	1
2022.09.11	5976.526	6192.671	5930.043	6126.433	5331247	17556177	1
2022.09.18	6172.916	6181.051	5945.150	6122.947	6102722	20121825	1
2022.09.25	6158.971	6312.365	6158.971	6284.982	6540224	21470016	1
2022.10.02	6115.367	6170.174	5935.367	6030.559	6218957	19489267	1
2022.10.09	6017.290	6234.213	5985.560	6162.098	4848025	14935182	1
2022.10.16	6103.829	6137.867	5941.714	5969.406	5842287	18362554	1
2022.10.23	6010.944	6226.136	6008.636	6117.098	6323757	19477073	1
2022.10.30	6241.140	6251.476	5793.211	5839.727	5694110	17144494	1
2022.11.06	5842.024	6242.862	5823.073	6163.039	7031143	20631329	1
2022.11.13	6155.574	6372.073	6063.117	6188.307	5719124	16414805	1
2022.11.20	6199.792	6236.545	6076.325	6218.169	5373214	15987038	1
2022.11.27	6233.100	6242.862	5923.880	5985.480	5097278	15766561	1
2022.12.04	5971.221	6068.754	5940.991	6000.309	4695282	14508145	1
2022.12.11	6003.161	6149.176	5993.465	6083.013	5519942	16712576	1
2022.12.18	6102.976	6106.399	5841.746	5887.946	4617997	14723588	1
2022.12.25	5887.946	6057.680	5881.102	6038.956	2741619	8552791	1
2023.01.01	6045.197	6252.302	5952.142	5968.597	4805896	14734984	1
2023.01.08	6020.231	6053.141	5773.975	5800.643	5134448	15895776	1
2023.01.15	5831.851	5979.377	5762.626	5924.339	4824801	14870282	1
2023.01.22	5924.339	5935.687	5742.200	5800.076	4569154	15130141	1
2023.01.29	5813.693	5853.194	5604.230	5844.162	4933378	16428061	1
2023.02.05	5850.372	6010.702	5815.934	5907.391	5304012	17135712	1
2023.02.12	5914.165	5950.860	5803.514	5843.597	5098460	16893208	1
2023.02.19	5862.227	5893.277	5775.852	5888.761	2310596	7819193	1
2023.02.26	5862.227	5924.005	5840.210	5863.986	4495360	14921046	1
2023.03.05	5876.326	5886.423	5750.677	5872.961	4512483	15546260	1
2023.03.12	5874.643	5998.609	5869.595	5939.151	4852993	16464356	1
2023.03.19	5930.176	6000.853	5847.158	5895.398	4127991	14724921	1
2023.03.26	5896.520	5897.642	5670.687	5680.177	4172563	15137056	1
2023.04.02	5670.129	5716.463	5617.653	5670.129	2853924	10071254	1
2023.04.09	5665.104	5704.740	5473.625	5492.047	4047310	14894476	1
2023.04.16	5504.329	5690.784	5480.882	5645.007	3198771	11399208	1
2023.04.23	5665.104	5683.527	5551.222	5564.555	4016610	14456400	1
2023.04.30	5578.977	5638.883	5492.447	5522.954	3262676	11154856	1
2023.05.07	5522.400	5613.367	5463.049	5479.689	4027832	13894471	1
2023.05.14	5478.025	5564.001	5437.534	5557.899	4210267	14830688	1
2023.05.21	5557.345	5601.164	5481.908	5549.024	3769656	14045636	1
2023.05.28	5552.352	5690.513	5487.438	5501.786	3978718	14469188	1
2023.06.04	5518.341	5519.444	5380.934	5405.767	2949374	10747872	1
2023.06.11	5409.630	5429.496	5306.988	5330.165	3766599	13989250	1
2023.06.18	5336.236	5343.961	5251.253	5289.330	3318202	12373928	1
2023.06.25	5281.052	5381.486	5245.183	5287.995	3408472	13323181	1
2023.07.02	5298.987	5466.607	5257.769	5379.224	3593944	12723191	1
2023.07.09	5372.630	5431.434	5265.463	5281.950	3987749	13547638	1
2023.07.16	5292.392	5345.151	5240.182	5263.814	3436364	12526475	1
2023.07.23	5251.723	5263.264	5162.692	5206.109	3414022	13109170	1
2023.07.30	5203.923	5409.413	5182.609	5353.668	3543370	13682854	1
2023.08.06	5350.389	5424.715	5312.679	5384.273	3573152	13097370	1
2023.08.13	5390.831	5481.006	5387.005	5445.483	3779064	13713723	1
2023.08.20	5443.297	5473.355	5304.482	5330.714	3542808	12981828	1
2023.08.27	5334.540	5424.980	5294.644	5409.190	3856288	14855283	1
2023.09.03	5395.579	5459.825	5365.634	5450.025	2461875	9123236	1
2023.09.10	5419.535	5430.969	5303.021	5313.910	3303850	12828219	1
2023.09.17	5318.266	5385.234	5279.065	5379.790	3156257	13095792	1
2023.09.24	5389.045	5531.149	5379.790	5479.439	4041796	17199943	1
2023.10.01	5513.028	5674.475	5479.981	5594.294	4799955	19100526	1
2023.10.08	5625.716	5633.843	5464.811	5518.446	3190867	12317995	1
2023.10.15	5489.191	5533.616	5439.348	5461.019	4211132	16409506	1
2023.10.22	5477.272	5483.231	5344.539	5437.723	4109535	17253370	1
2023.10.29	5412.260	5498.325	5285.479	5313.571	3505494	13651520	1
2023.11.05	5303.847	5365.431	5263.331	5308.168	3447370	13030489	1
2023.11.12	5315.732	5350.846	5234.699	5307.088	2642256	10569456	1
2023.11.19	5295.203	5320.053	5237.400	5293.583	2849694	10935863	1
2023.11.26	5296.284	5345.870	5249.285	5274.736	3760021	14835935	1
2023.12.03	5288.747	5366.348	5270.425	5322.159	3353411	12513723	1
2023.12.10	5327.009	5368.504	5260.185	5324.314	3394003	13752886	1
2023.12.17	5323.775	5338.326	5223.540	5235.935	2941273	12120734	1
2023.12.24	5225.157	5247.044	5171.806	5223.970	1534465	6242098	1
2023.12.31	5241.678	5321.634	5222.360	5248.118	2640988	10212409	1
2024.01.07	5252.947	5284.608	5196.602	5221.823	3131385	11863148	1
2024.01.14	5205.188	5328.610	5205.188	5300.169	3077679	12420544	1
2024.01.21	5292.657	5373.686	5264.753	5280.315	3062869	13078527	1
2024.01.28	5279.778	5347.928	5260.083	5333.928	3283789	14364371	1
2024.02.04	5339.279	5382.087	5307.173	5311.454	2573458	11600977	1
2024.02.11	5328.577	5345.700	5312.524	5323.226	1077675	5325538	1
2024.02.18	5323.226	5350.516	5267.575	5349.981	2252444	10971598	1
2024.02.25	5336.068	5348.268	5274.531	5300.258	2632640	11968563	1
2024.03.03	5297.057	5334.398	5271.452	5323.729	2120284	9557876	1
2024.03.10	5323.729	5341.866	5289.589	5338.132	2384579	11322412	1
2024.03.17	5326.930	5395.210	5286.922	5338.666	2525095	12357242	1
2024.03.24	5327.463	5364.720	5294.924	5361.526	1808116	8976558	1
2024.03.31	5348.221	5433.907	5341.834	5407.297	3038415	13746571	1
2024.04.07	5409.426	5489.790	5329.594	5457.857	3012599	13134220	1
2024.04.14	5446.681	5640.939	5441.891	5547.801	4157161	17201600	1
2024.04.21	5547.801	5558.446	5439.230	5455.196	3088841	12846675	1
2024.04.28	5439.230	5543.828	5369.190	5401.570	2453492	10860904	1
2024.05.05	5387.769	5507.202	5371.313	5492.339	2724155	11879915	1
2024.05.12	5472.699	5493.932	5419.617	5419.617	2708322	11550363	1
2024.05.19	5422.802	5495.524	5400.508	5490.747	2700478	12215230	1
2024.05.26	5478.007	5582.435	5451.466	5571.315	1983608	9325685	1
2024.06.02	5578.199	5691.510	5535.310	5681.979	3686958	15770343	1
2024.06.09	5671.919	5759.285	5639.620	5699.982	4084366	15693175	1
2024.06.16	5697.335	5811.175	5695.217	5758.756	3386702	14090317	1
2024.06.23	5753.461	5927.820	5695.217	5919.907	3872171	15744487	1
2024.06.30	5908.301	6031.742	5772.727	5775.364	4272438	16667513	1
2024.07.07	5771.144	5812.291	5679.354	5740.020	3548375	13676173	1
2024.07.14	5765.869	5930.985	5713.116	5928.347	3715803	14383918	1
2024.07.21	5908.301	6013.279	5847.108	5981.100	4354612	16572037	1
2024.07.28	5978.462	6112.926	5913.071	6047.184	4943211	18660068	1
2024.08.04	6184.979	6188.134	5789.477	5807.359	5408028	19260121	1
2024.08.11	5805.781	5822.611	5718.476	5768.965	4102248	15600334	1
2024.08.18	5764.232	5905.182	5663.253	5768.965	4565319	17400839	1
2024.08.25	5781.588	5987.022	5758.447	5903.134	4718350	16392627	1
2024.09.01	5916.766	5953.467	5812.429	5886.881	4448489	14486252	1
2024.09.08	5872.200	5964.477	5823.964	5845.461	4305534	14484133	1
2024.09.15	5843.363	5861.714	5664.051	5787.263	4370937	15379651	1
2024.09.22	5843.888	5875.870	5669.295	5691.840	3780016	13450883	1
2024.09.29	5688.186	5780.563	5659.482	5704.365	3724187	13602884	1
2024.10.06	5726.285	5914.691	5675.139	5861.979	3850642	13913206	1
2024.10.13	5873.461	5961.662	5819.705	5958.530	4032629	14420257	1
2024.10.20	5961.140	5994.020	5913.125	5964.271	3894730	13914180	1
2024.10.27	5954.877	6146.065	5936.611	6136.176	4115145	15058584	1
2024.11.03	6091.937	6115.358	5875.948	5992.530	5362480	18469972	1
2024.11.10	6023.758	6077.885	5968.069	6026.360	3642565	12619370	1
2024.11.17	6021.676	6079.447	5978.999	6047.699	3232038	11409000	1
2024.11.24	6026.880	6363.764	6015.430	6228.983	5057006	17567987	1
2024.12.01	6247.645	6337.845	6195.287	6325.922	4706365	16264592	1
2024.12.08	6316.072	6328.514	6093.164	6270.972	5231082	18190752	1
2024.12.15	6302.076	6557.124	6254.384	6324.885	7656190	22952330	1
2024.12.22	6348.212	6446.707	6337.845	6426.489	2794995	7876625	1
2024.12.29	6435.772	6474.448	6359.966	6408.440	2851092	8233767	1
2025.01.05	6370.280	6377.499	6244.968	6320.774	5006893	14799439	1
2025.01.12	6342.433	6352.231	6199.587	6275.909	4901888	14967112	1
2025.01.19	6270.752	6291.380	6059.320	6103.670	4784186	15464120	1
2025.01.26	6137.189	6149.050	5994.687	6025.984	4761352	15493876	1
2025.02.02	6051.124	6090.118	5908.492	5982.886	5034991	15990921	1
2025.02.09	5983.913	5998.792	5854.106	5867.446	4340305	14003837	1
2025.02.16	5874.116	5893.100	5834.610	5888.995	3654820	12734913	1
2025.02.23	5873.603	6064.429	5861.802	6024.686	4603370	15905256	1
2025.03.02	5983.414	5985.452	5871.827	5925.327	2425105	7929403	1
2025.03.09	5928.894	6011.438	5841.255	5875.903	4105537	13698674	1
2025.03.16	5865.712	5870.807	5753.106	5847.879	3833556	12956500	1
2025.03.23	5831.574	5894.246	5792.849	5869.279	3814697	13179101	1
2025.03.30	5874.346	5963.013	5694.477	5961.493	4959201	15912413	1
2025.04.06	5983.787	6199.122	5910.826	5959.466	6809267	20593891	1
2025.04.13	5937.680	6008.107	5884.479	5901.706	3596142	10741709	1
2025.04.20	5881.439	5888.026	5739.571	5767.438	3446454	11033051	1
2025.04.27	5776.051	5778.585	5678.854	5729.661	3336715	10900129	1
2025.05.04	5726.140	5830.773	5698.976	5713.564	4004934	13325509	1
2025.05.11	5734.692	5767.893	5638.611	5722.619	4348711	14582876	1
2025.05.18	5711.049	5818.700	5638.611	5693.945	4530429	15175510	1
2025.05.25	5684.387	5777.500	5674.327	5769.000	3674849	12155668	1
2025.06.01	5737.500	5745.000	5585.000	5592.000	4182937	13621702	1
2025.06.08	5596.500	5624.500	5542.500	5569.000	3803706	12703632	1
2025.06.15	5543.000	5553.500	5480.000	5527.000	3105495	10627261	1
2025.06.22	5545.500	5579.000	5411.500	5522.500	4192993	14494467	1
2025.06.29	5525.500	5547.500	5437.500	5455.500	3454092	12142247	1
2025.07.06	5474.000	5658.000	5467.000	5590.500	3001883	15249861	0
2025.07.13	5591.500	5629.000	5539.500	5592.500	2995571	14776239	0
2025.07.20	5610.000	5626.500	5520.500	5568.000	3344185	12033916	1
2025.07.27	5592.500	5675.393	5562.000	5581.000	3983873	15311781	1
2025.08.03	5572.000	5583.000	5445.000	5462.000	3379131	12791386	1
2025.08.10	5470.000	5487.500	5404.000	5414.000	3050480	11779558	1
2025.08.17	5422.000	5525.000	5422.000	5437.500	3339443	13231174	1
2025.08.24	5438.500	5483.000	5405.500	5467.000	2898737	11780627	1
2025.08.31	5463.500	5539.000	5415.000	5444.000	2974467	11823645	1
2025.09.07	5439.000	5478.500	5363.500	5370.500	2958235	11946768	1
2025.09.14	5369.500	5371.500	5284.500	5346.000	2916422	12105164	1
2025.09.21	5335.000	5377.000	5284.500	5354.500	3045791	13155203	1
2025.09.28	5386.679	5413.000	5334.000	5378.000	3033713	12907276	1
2025.10.05	5382.000	5560.000	5342.000	5559.500	3646893	15049226	1
2025.10.12	5520.000	5543.000	5421.000	5425.000	3462466	13778250	1
2025.10.19	5429.500	5429.500	5372.000	5395.500	2615727	10724768	1
2025.10.26	5372.500	5434.500	5338.000	5414.000	2643424	11497174	1
2025.11.02	5409.500	5443.500	5352.000	5354.500	2655845	11595611	1
2025.11.09	5340.000	5347.000	5286.000	5313.000	2544018	11364168	1
2025.11.16	5317.000	5443.000	5308.500	5416.500	2242925	9287612	1
2025.11.23	5408.000	5415.500	5331.500	5371.500	2511487	10857579	1
2025.11.30	5371.500	5514.500	5318.500	5466.000	3201454	13344852	1
2025.12.07	5451.500	5522.000	5399.000	5433.000	3747534	14883557	1
2025.12.14	5420.000	5571.500	5399.000	5555.000	3481849	14208357	1
2025.12.21	5538.500	5614.000	5523.000	5545.500	1800377	7172737	1
2025.12.28	5589.287	5630.107	5452.000	5456.000	1637552	6679855	1
2026.01.04	5455.000	5489.500	5381.500	5402.000	2713459	10741096	1
