<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.08.02	11:00:00	182767	182870	182723	182738	41004	197330	1
2021.08.02	11:03:00	182745	182870	182687	182694	29837	141873	1
2021.08.02	11:06:00	182701	182701	182570	182577	29389	134726	1
2021.08.02	11:09:00	182584	182819	182577	182753	29617	127726	1
2021.08.02	11:12:00	182753	182775	182621	182738	21425	94727	1
2021.08.02	11:15:00	182731	182797	182665	182687	16571	83713	1
2021.08.02	11:18:00	182687	182870	182665	182841	29093	137179	1
2021.08.02	11:21:00	182841	182995	182833	182936	38857	174031	1
2021.08.02	11:24:00	182929	182980	182723	182731	30327	129817	1
2021.08.02	11:27:00	182731	182767	182621	182643	31913	139324	1
2021.08.02	11:30:00	182650	182767	182621	182679	23812	101879	1
2021.08.02	11:33:00	182687	182921	182672	182870	31821	141952	1
2021.08.02	11:36:00	182870	182921	182665	182694	25839	108661	1
2021.08.02	11:39:00	182694	182767	182313	182350	51339	218140	1
2021.08.02	11:42:00	182350	182745	182269	182606	49134	213012	1
2021.08.02	11:45:00	182606	182811	182562	182599	34062	145526	1
2021.08.02	11:48:00	182599	182599	182203	182218	41664	176503	1
2021.08.02	11:51:00	182218	182643	182152	182372	51537	217335	1
2021.08.02	11:54:00	182379	182511	182313	182335	24672	109382	1
2021.08.02	11:57:00	182335	182394	182203	182328	26527	111260	1
2021.08.02	12:00:00	182320	182540	182320	182467	25344	105400	1
2021.08.02	12:03:00	182474	182753	182467	182533	40288	181552	1
2021.08.02	12:06:00	182533	182665	182482	182606	22592	93929	1
2021.08.02	12:09:00	182613	182635	182401	182474	27320	122702	1
2021.08.02	12:12:00	182482	182621	182408	182570	19384	89740	1
2021.08.02	12:15:00	182562	182621	182306	182335	26287	120414	1
2021.08.02	12:18:00	182335	182489	182320	182467	17159	77750	1
2021.08.02	12:21:00	182467	182548	182364	182533	18995	86907	1
2021.08.02	12:24:00	182540	182841	182511	182760	35278	161107	1
2021.08.02	12:27:00	182753	182797	182650	182716	18815	85648	1
2021.08.02	12:30:00	182709	182819	182650	182701	20859	91934	1
2021.08.02	12:33:00	182709	182753	182577	182621	22779	102297	1
2021.08.02	12:36:00	182621	182621	182445	182577	24455	109244	1
2021.08.02	12:39:00	182577	182665	182460	182650	20363	94427	1
2021.08.02	12:42:00	182657	182701	182386	182423	25672	110631	1
2021.08.02	12:45:00	182423	182511	182335	182372	19670	83084	1
2021.08.02	12:48:00	182372	182401	182210	182262	24041	108188	1
2021.08.02	12:51:00	182262	182276	182027	182093	27477	126988	1
2021.08.02	12:54:00	182093	182093	181880	181924	26128	116562	1
2021.08.02	12:57:00	181924	181961	181675	181697	27970	133972	1
2021.08.02	13:00:00	181697	181697	181462	181492	26437	124768	1
2021.08.02	13:03:00	181484	181712	181404	181653	34803	163322	1
2021.08.02	13:06:00	181660	181807	181301	181411	44939	193728	1
2021.08.02	13:09:00	181404	181741	181389	181602	32635	147915	1
2021.08.02	13:12:00	181602	181873	181587	181866	24369	120301	1
2021.08.02	13:15:00	181858	182005	181800	181844	29924	138092	1
2021.08.02	13:18:00	181844	181954	181785	181917	19706	91099	1
2021.08.02	13:21:00	181910	181954	181800	181939	17734	82829	1
2021.08.02	13:24:00	181946	181976	181565	181690	38063	170725	1
2021.08.02	13:27:00	181690	181954	181646	181917	25257	118361	1
2021.08.02	13:30:00	181917	182218	181866	182218	34755	162932	1
2021.08.02	13:33:00	182218	182474	182137	182372	30362	140844	1
2021.08.02	13:36:00	182372	182628	182372	182606	27016	113136	1
2021.08.02	13:39:00	182606	182797	182540	182775	24228	108920	1
2021.08.02	13:42:00	182775	182819	182577	182584	22330	91817	1
2021.08.02	13:45:00	182591	182606	182496	182577	18296	79431	1
2021.08.02	13:48:00	182577	182621	182526	182555	13625	62192	1
2021.08.02	13:51:00	182548	182562	182335	182386	25484	110199	1
2021.08.02	13:54:00	182394	182408	182254	182269	21375	97694	1
2021.08.02	13:57:00	182269	182298	182218	182262	10959	50110	1
2021.08.02	14:00:00	182269	182372	182100	182108	31433	140540	1
2021.08.02	14:03:00	182108	182181	181976	182005	22387	101008	1
2021.08.02	14:06:00	182005	182020	181932	181976	14973	74211	1
2021.08.02	14:09:00	181968	182122	181924	182122	20327	92824	1
2021.08.02	14:12:00	182115	182504	182115	182408	36079	170001	1
2021.08.02	14:15:00	182401	182423	182298	182379	17252	78045	1
2021.08.02	14:18:00	182379	182657	182379	182613	33512	159045	1
2021.08.02	14:21:00	182613	182621	182357	182445	20420	95015	1
2021.08.02	14:24:00	182438	182445	182254	182298	19103	98109	1
2021.08.02	14:27:00	182291	182438	182291	182298	16862	78581	1
2021.08.02	14:30:00	182306	182357	182174	182210	21681	104686	1
2021.08.02	14:33:00	182210	182328	182174	182232	19244	95534	1
2021.08.02	14:36:00	182232	182401	182137	182210	27136	124450	1
2021.08.02	14:39:00	182210	182269	182027	182034	23114	105267	1
2021.08.02	14:42:00	182034	182115	181880	181880	25952	126204	1
2021.08.02	14:45:00	181880	182034	181836	181910	30985	144774	1
2021.08.02	14:48:00	181910	181961	181778	181807	29593	138085	1
2021.08.02	14:51:00	181807	181939	181756	181902	21129	102628	1
2021.08.02	14:54:00	181902	182078	181719	182020	34076	160939	1
2021.08.02	14:57:00	182020	182240	182005	182196	22313	106974	1
2021.08.02	15:00:00	182196	182320	181565	181646	52088	258334	1
2021.08.02	15:03:00	181646	181866	181528	181851	37128	171010	1
2021.08.02	15:06:00	181851	181873	181638	181770	25321	111465	1
2021.08.02	15:09:00	181770	181932	181675	181734	20286	86169	1
2021.08.02	15:12:00	181726	182049	181726	182042	24922	125021	1
2021.08.02	15:15:00	182049	182093	181829	181954	27039	137943	1
2021.08.02	15:18:00	181954	182034	181748	181829	23743	120611	1
2021.08.02	15:21:00	181829	181990	181726	181756	21535	110816	1
2021.08.02	15:24:00	181756	181968	181682	181866	25609	129523	1
2021.08.02	15:27:00	181858	181946	181778	181844	14720	73500	1
2021.08.02	15:30:00	181844	181888	181631	181682	21910	120916	1
2021.08.02	15:33:00	181682	181910	181616	181895	21178	111276	1
2021.08.02	15:36:00	181888	182020	181888	182012	14828	85985	1
2021.08.02	15:39:00	182012	182049	181770	181800	20467	106100	1
2021.08.02	15:42:00	181792	181954	181770	181829	15801	84041	1
2021.08.02	15:45:00	181829	181866	181734	181785	14289	73917	1
2021.08.02	15:48:00	181778	181858	181697	181778	16283	86392	1
2021.08.02	15:51:00	181778	181778	181426	181455	28662	144219	1
2021.08.02	15:54:00	181455	181528	181345	181419	31305	163485	1
2021.08.02	15:57:00	181419	181514	181140	181147	32176	165346	1
2021.08.02	16:00:00	181140	181309	180986	181111	39617	203116	1
2021.08.02	16:03:00	181111	181499	181059	181455	29016	141026	1
2021.08.02	16:06:00	181462	181572	181455	181514	17334	85659	1
2021.08.02	16:09:00	181514	181514	181140	181257	32460	154143	1
2021.08.02	16:12:00	181250	181404	181169	181235	20088	97414	1
2021.08.02	16:15:00	181235	181287	181059	181067	24426	116203	1
2021.08.02	16:18:00	181067	181140	180737	180744	34883	169813	1
2021.08.02	16:21:00	180744	181030	180737	180825	26454	124163	1
2021.08.02	16:24:00	180825	180883	180531	180612	32514	169629	1
2021.08.02	16:27:00	180612	180707	180370	180517	36973	189371	1
2021.08.02	16:30:00	180517	180590	180436	180473	17990	85673	1
2021.08.02	16:33:00	180480	180568	180253	180267	23942	122960	1
2021.08.02	16:36:00	180267	180421	180077	180407	33431	167216	1
2021.08.02	16:39:00	180407	180436	180224	180341	18625	88707	1
2021.08.02	16:42:00	180341	180392	180209	180231	12722	65763	1
2021.08.02	16:45:00	180238	180319	180143	180267	18489	93193	1
2021.08.02	16:48:00	180267	180495	180267	180487	23009	124246	1
2021.08.02	16:51:00	180480	180597	180421	180502	22529	124436	1
2021.08.02	16:54:00	180509	180627	180421	180605	15602	81631	1
2021.08.02	16:57:00	180597	180678	180421	180421	19349	93664	1
2021.08.02	17:00:00	180429	180465	180055	180070	25760	119000	1
2021.08.02	17:03:00	180070	180077	179696	179850	30988	156789	1
2021.08.02	17:06:00	179850	179923	179446	179476	28014	142451	1
2021.08.02	17:09:00	179468	179718	179424	179439	24516	113878	1
2021.08.02	17:12:00	179439	179446	178860	179073	35011	175638	1
2021.08.02	17:15:00	179080	179674	179065	179630	28028	130521	1
2021.08.02	17:18:00	179622	180158	179534	180011	29954	133206	1
2021.08.02	17:21:00	180018	180106	179872	179996	14623	64630	1
2021.08.02	17:24:00	179996	180158	179967	180040	9735	44363	1
2021.08.02	17:27:00	180040	180136	180040	180092	8242	41276	1
2021.08.02	17:30:00	180099	180165	179747	179769	16585	74835	1
2021.08.02	17:33:00	179776	179842	179644	179703	14334	61035	1
2021.08.02	17:36:00	179710	179762	179498	179564	13399	53502	1
2021.08.02	17:39:00	179556	179725	179542	179637	12458	46857	1
2021.08.02	17:42:00	179637	179879	179622	179791	13694	54447	1
2021.08.02	17:45:00	179798	179901	179762	179872	6306	25682	1
2021.08.02	17:48:00	179872	180238	179835	180136	10158	44750	1
2021.08.02	17:51:00	180143	180275	180128	180267	2645	9961	1
2021.08.02	17:54:00	180267	180612	180216	180612	1940	14785	1
2021.08.03	09:00:00	180671	181052	180649	180935	42495	113859	1
2021.08.03	09:03:00	180935	180957	180407	180436	52830	152837	1
2021.08.03	09:06:00	180436	180553	180289	180458	34608	117485	1
2021.08.03	09:09:00	180465	180737	180392	180634	38456	130343	1
2021.08.03	09:12:00	180641	180722	180465	180487	25720	95896	1
2021.08.03	09:15:00	180487	180524	180062	180077	55669	200158	1
2021.08.03	09:18:00	180070	180246	179945	180084	42494	142056	1
2021.08.03	09:21:00	180084	180187	179901	180026	42012	137795	1
2021.08.03	09:24:00	180026	180099	179894	180011	33880	118087	1
2021.08.03	09:27:00	180018	180143	179828	179894	44485	154970	1
2021.08.03	09:30:00	179894	179930	179769	179769	30256	104542	1
2021.08.03	09:33:00	179769	179872	179740	179762	23203	84190	1
2021.08.03	09:36:00	179769	179828	179131	179182	69440	250813	1
2021.08.03	09:39:00	179175	179190	178735	178845	76732	304041	1
2021.08.03	09:42:00	178838	179080	178706	179051	46165	181940	1
2021.08.03	09:45:00	179051	179285	178948	179234	51301	202585	1
2021.08.03	09:48:00	179234	179373	179226	179329	25412	98777	1
2021.08.03	09:51:00	179329	179439	179270	179395	24733	107819	1
2021.08.03	09:54:00	179395	179571	179322	179564	24306	95958	1
2021.08.03	09:57:00	179564	180084	179556	180033	52197	221408	1
2021.08.03	10:00:00	180026	180187	179923	180136	51073	224446	1
2021.08.03	10:03:00	180128	180172	180004	180165	25187	113053	1
2021.08.03	10:06:00	180165	180216	179930	180011	42594	188304	1
2021.08.03	10:09:00	180011	180055	179226	179630	107147	422256	1
2021.08.03	10:12:00	179630	179820	179542	179798	39882	166379	1
2021.08.03	10:15:00	179798	180004	179476	179666	65586	267704	1
2021.08.03	10:18:00	179666	179879	179600	179615	38476	155380	1
2021.08.03	10:21:00	179615	179747	179556	179630	24297	98611	1
2021.08.03	10:24:00	179630	179901	179586	179879	32864	131365	1
2021.08.03	10:27:00	179879	179967	179798	179938	27535	116527	1
2021.08.03	10:30:00	179945	180451	179945	180289	86147	332959	1
2021.08.03	10:33:00	180297	180568	180260	180319	52566	203964	1
2021.08.03	10:36:00	180319	180333	179564	179681	73770	284075	1
2021.08.03	10:39:00	179674	180092	179542	180077	68742	278853	1
2021.08.03	10:42:00	180077	180209	179688	179842	62501	248729	1
2021.08.03	10:45:00	179842	179923	179329	179410	69449	272005	1
2021.08.03	10:48:00	179417	179461	178977	179007	59808	232006	1
2021.08.03	10:51:00	179007	179116	178625	178801	72356	305804	1
2021.08.03	10:54:00	178794	178816	178127	178200	91051	351737	1
2021.08.03	10:57:00	178200	178281	177760	177965	62405	257965	1
2021.08.03	11:00:00	177973	178200	177834	178200	59083	230869	1
2021.08.03	11:03:00	178193	178413	177584	177606	80354	316208	1
2021.08.03	11:06:00	177614	177841	177401	177562	65160	226000	1
2021.08.03	11:09:00	177562	177943	177548	177812	41055	141417	1
2021.08.03	11:12:00	177812	177973	177364	177460	49680	179690	1
2021.08.03	11:15:00	177460	177929	177350	177922	49769	176932	1
2021.08.03	11:18:00	177907	178156	177768	177973	43917	162968	1
2021.08.03	11:21:00	177973	178017	177680	177819	48272	179222	1
2021.08.03	11:24:00	177819	178061	177797	178046	30493	127041	1
2021.08.03	11:27:00	178046	178193	177936	178127	27690	106277	1
2021.08.03	11:30:00	178127	178185	178002	178061	29510	122892	1
2021.08.03	11:33:00	178068	178127	177504	177819	60865	225417	1
2021.08.03	11:36:00	177812	178119	177694	178068	33949	124181	1
2021.08.03	11:39:00	178061	178134	177929	178053	27764	104520	1
2021.08.03	11:42:00	178061	178061	177878	178017	25195	88337	1
2021.08.03	11:45:00	178017	178061	177753	177973	34853	124319	1
2021.08.03	11:48:00	177973	178405	177965	178237	56592	224743	1
2021.08.03	11:51:00	178237	178310	178061	178303	32016	122259	1
2021.08.03	11:54:00	178303	178486	178163	178449	42409	162041	1
2021.08.03	11:57:00	178449	178545	178222	178391	37487	144381	1
2021.08.03	12:00:00	178383	178743	178354	178721	36279	137016	1
2021.08.03	12:03:00	178721	179058	178618	179007	39971	153461	1
2021.08.03	12:06:00	179007	179248	178816	178985	45428	179717	1
2021.08.03	12:09:00	178985	179124	178559	178757	51379	191429	1
2021.08.03	12:12:00	178765	179051	178603	179043	32887	122254	1
2021.08.03	12:15:00	179043	179109	178816	178911	34051	127979	1
2021.08.03	12:18:00	178911	178970	178757	178904	21372	77635	1
2021.08.03	12:21:00	178911	179278	178904	179175	36787	144499	1
2021.08.03	12:24:00	179175	179190	178897	179014	33354	125788	1
2021.08.03	12:27:00	179014	179212	178970	179190	20927	78049	1
2021.08.03	12:30:00	179190	179300	179036	179168	32301	118374	1
2021.08.03	12:33:00	179175	179241	178904	179131	30105	111561	1
2021.08.03	12:36:00	179124	179454	179043	179446	32354	121612	1
2021.08.03	12:39:00	179439	179571	179380	179564	33179	134608	1
2021.08.03	12:42:00	179556	179703	179483	179652	25347	102033	1
2021.08.03	12:45:00	179652	179850	179637	179740	32509	126231	1
2021.08.03	12:48:00	179725	179820	179520	179762	36410	123433	1
2021.08.03	12:51:00	179769	179828	179615	179674	24470	82650	1
2021.08.03	12:54:00	179666	180238	179637	180070	49854	167221	1
2021.08.03	12:57:00	180070	180128	179872	179886	25498	87584	1
2021.08.03	13:00:00	179879	179960	179754	179945	29435	100591	1
2021.08.03	13:03:00	179938	180172	179938	180011	29304	100167	1
2021.08.03	13:06:00	180011	180040	179864	179886	16775	63668	1
2021.08.03	13:09:00	179886	179982	179791	179930	21963	76428	1
2021.08.03	13:12:00	179930	179989	179835	179857	15498	56148	1
2021.08.03	13:15:00	179850	179996	179718	179747	23396	82179	1
2021.08.03	13:18:00	179747	179842	179454	179813	46354	159955	1
2021.08.03	13:21:00	179820	179879	179688	179740	21982	81838	1
2021.08.03	13:24:00	179732	179996	179688	179938	24848	92141	1
2021.08.03	13:27:00	179945	179967	179835	179930	15257	53709	1
2021.08.03	13:30:00	179930	180033	179850	179857	20334	75169	1
2021.08.03	13:33:00	179850	179967	179732	179952	24399	84011	1
2021.08.03	13:36:00	179952	180150	179916	179982	31422	108314	1
2021.08.03	13:39:00	179982	180018	179652	179798	30532	107675	1
2021.08.03	13:42:00	179791	179901	179718	179806	16267	59958	1
2021.08.03	13:45:00	179806	180026	179784	179798	26124	98043	1
2021.08.03	13:48:00	179798	179930	179747	179879	17553	69001	1
2021.08.03	13:51:00	179872	180092	179725	180077	22624	88113	1
2021.08.03	13:54:00	180070	180715	180070	180377	64918	236263	1
2021.08.03	13:57:00	180377	180634	180355	180612	25214	86897	1
2021.08.03	14:00:00	180605	180927	180546	180678	40261	152256	1
2021.08.03	14:03:00	180678	180729	180443	180480	28741	110717	1
2021.08.03	14:06:00	180473	180825	180473	180575	29321	106267	1
2021.08.03	14:09:00	180575	180671	180517	180671	16722	62522	1
2021.08.03	14:12:00	180671	180979	180663	180788	35698	128698	1
2021.08.03	14:15:00	180788	181133	180693	180795	50324	190797	1
2021.08.03	14:18:00	180795	180898	180619	180825	27233	101251	1
2021.08.03	14:21:00	180832	180854	180671	180707	15690	55853	1
2021.08.03	14:24:00	180707	180737	180451	180583	31897	112392	1
2021.08.03	14:27:00	180590	180700	180502	180627	19686	70058	1
2021.08.03	14:30:00	180627	180678	180502	180649	20085	71609	1
2021.08.03	14:33:00	180641	180685	180399	180407	25862	91519	1
2021.08.03	14:36:00	180407	180832	180289	180795	46326	169514	1
2021.08.03	14:39:00	180803	180957	180744	180861	31567	114152	1
2021.08.03	14:42:00	180861	181067	180795	180986	28378	104761	1
2021.08.03	14:45:00	180986	181169	180942	181118	31140	118432	1
2021.08.03	14:48:00	181118	181169	180817	180898	28984	108794	1
2021.08.03	14:51:00	180891	180949	180788	180913	16813	65484	1
2021.08.03	14:54:00	180920	180957	180429	180480	35237	130133	1
2021.08.03	14:57:00	180480	180583	180004	180180	53629	205454	1
