<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.06.09	142882	144699	142857	143845	3719652	13063160	1
2023.06.12	144220	144944	143440	144637	3886065	13591159	1
2023.06.13	144834	145159	142961	143888	4239357	14367994	1
2023.06.14	144431	146659	144123	146153	5192112	17215006	1
2023.06.15	145575	147267	145551	146785	4286436	13814088	1
2023.06.16	146779	147038	145466	145846	3871377	12869350	1
2023.06.19	145804	147544	145551	147538	3587375	11349542	1
2023.06.20	147032	147081	145418	146960	4367298	14182522	1
2023.06.21	146900	148008	146406	147833	4389027	14287683	1
2023.06.22	146713	147340	144768	146370	4758105	15482262	1
2023.06.23	145635	146472	144924	146015	4436676	14583918	1
2023.06.26	145707	145942	143949	144491	4169485	13721650	1
2023.06.27	145316	146237	142798	143870	5066896	16345959	1
2023.06.28	144129	144491	142684	142828	4863165	15761490	1
2023.06.29	143485	145491	142594	145472	4403091	14288774	1
2023.06.30	145587	146418	143888	143949	4782638	15515856	1
2023.07.03	144533	146647	144431	146526	3956509	12620448	1
2023.07.04	146286	146466	145135	145629	3891204	12410101	1
2023.07.05	144997	146942	144226	145960	4863739	16184123	1
2023.07.06	145756	145762	142925	143527	4938673	15972795	1
2023.07.07	144051	146015	143587	144696	4519976	14590542	1
2023.07.10	144467	144912	143364	143473	4338599	14310644	1
2023.07.11	144214	144310	140973	143587	4780985	15833158	1
2023.07.12	143955	145123	142955	143105	4970803	15322576	1
2023.07.13	143822	145966	143720	145117	4462984	13609089	1
2023.07.14	145430	145713	143057	143298	4401857	14033918	1
2023.07.17	142985	144184	141913	144039	4382025	13920375	1
2023.07.18	143949	144503	142624	143310	5039285	16268282	1
2023.07.19	143527	143660	141762	142925	4769444	15535172	1
2023.07.20	143286	143931	142672	143762	4580979	14877581	1
2023.07.21	143467	146394	143148	146394	4617765	15659452	1
2023.07.24	146021	147936	145756	147821	4743761	15133963	1
2023.07.25	148351	149683	147870	147984	4595873	14915737	1
2023.07.26	147743	149002	147225	148376	4899263	15237917	1
2023.07.27	148954	149219	144659	144816	4856026	16048917	1
2023.07.28	145527	146677	145039	145418	4107036	13364643	1
