<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.08.07	644920.00	645640.00	638660.00	643620.00	96117	498203	1
2025.08.08	642460.00	643400.00	634180.00	641620.00	99145	556683	1
2025.08.11	661840.00	663060.00	650560.00	653000.00	113168	604007	1
2025.08.12	650000.00	654600.00	647100.00	654420.00	106582	620698	1
2025.08.13	655560.00	672000.00	652820.00	669580.00	150347	891393	1
2025.08.14	664820.00	664820.00	640060.00	642340.00	150633	916904	1
2025.08.15	648960.00	648960.00	634800.00	636140.00	113373	689000	1
2025.08.18	624000.00	639820.00	624000.00	639140.00	107754	584408	1
2025.08.19	631500.00	638820.00	622120.00	626720.00	112049	638550	1
2025.08.20	626980.00	631160.00	617140.00	630300.00	125166	693278	1
2025.08.21	623860.00	626980.00	615500.00	617360.00	147019	757186	1
2025.08.22	617200.00	639240.00	612440.00	638120.00	140169	778786	1
2025.08.25	607840.00	612400.00	589480.00	589700.00	148299	896198	1
2025.08.26	595000.00	609920.00	593900.00	605440.00	123771	715214	1
2025.08.27	608000.00	615880.00	602860.00	607780.00	123443	701932	1
2025.08.28	622823.52	625790.32	615061.09	616260.00	103267	600320	1
2025.08.29	606980.00	611200.00	590440.00	591300.00	98649	568900	1
2025.09.01	597120.00	602900.00	594540.00	595520.00	101525	494182	1
2025.09.02	606780.00	618720.00	602600.00	616220.00	129375	786557	1
2025.09.03	617500.00	621860.00	611400.00	617600.00	116312	703731	1
2025.09.04	612000.00	613140.00	602940.00	607040.00	108446	620470	1
2025.09.05	617000.00	618640.00	600400.00	607020.00	113984	698485	1
2025.09.08	611100.00	619240.00	610560.00	613000.00	77971	479777	1
2025.09.09	615100.00	618520.00	605600.00	609240.00	110445	603767	1
2025.09.10	614880.00	623980.00	614600.00	620000.00	108533	629503	1
2025.09.11	622600.00	625400.00	617040.00	621820.00	100060	566751	1
2025.09.12	625120.00	630420.00	620240.00	627380.00	97090	538984	1
2025.09.15	620060.00	620060.00	612020.00	617200.00	84056	421216	1
2025.09.16	614860.00	623480.00	612720.00	622120.00	91899	530528	1
2025.09.17	620020.00	621200.00	611120.00	617480.00	104833	594441	1
2025.09.18	622980.00	628700.00	620140.00	626640.00	86373	507915	1
2025.09.19	623100.00	624020.00	614720.00	617120.00	78857	408504	1
2025.09.22	603560.00	610560.00	599720.00	603320.00	82184	463282	1
2025.09.23	605000.00	606000.00	587820.00	591580.00	90674	505940	1
2025.09.24	599600.00	608000.00	598520.00	603820.00	73647	423428	1
2025.09.25	604637.09	608894.52	592801.83	597100.00	107924	662895	1
2025.09.26	594980.00	597940.00	589500.00	594020.00	71533	415711	1
2025.09.29	607300.00	619120.00	604040.00	618300.00	96215	566626	1
2025.09.30	612040.00	624500.00	608520.00	624500.00	89213	494964	1
2025.10.01	629940.00	639900.00	626840.00	635620.00	96053	616638	1
2025.10.02	638560.00	656280.00	638320.00	653220.00	118147	674044	1
2025.10.03	651560.00	672380.00	650920.00	662660.00	168190	1140159	1
2025.10.06	673580.00	680400.00	670320.00	671500.00	124448	725083	1
2025.10.07	672260.00	677720.00	653560.00	662460.00	139637	876397	1
2025.10.08	666000.00	672780.00	656360.00	665500.00	139317	792523	1
2025.10.09	661820.00	667980.00	650140.00	659940.00	132873	790551	1
2025.10.10	660520.00	675800.00	568800.00	611000.00	152481	977361	1
2025.10.13	635400.00	639900.00	626420.00	638280.00	133670	799315	1
2025.10.14	617220.00	626320.00	609880.00	625920.00	143857	834528	1
2025.10.15	616960.00	617920.00	605660.00	610300.00	129686	771442	1
2025.10.16	610780.00	614300.00	588880.00	592820.00	156020	951574	1
2025.10.17	579500.00	585900.00	572220.00	583820.00	131909	817694	1
2025.10.20	603000.00	604500.00	593940.00	600840.00	106716	593455	1
2025.10.21	588460.00	616720.00	585460.00	598980.00	159349	1024610	1
2025.10.22	583580.00	591380.00	578300.00	580500.00	126397	796990	1
2025.10.23	592460.00	602040.00	587760.00	592560.00	110239	638566	1
2025.10.24	600620.00	605560.00	592760.00	599060.00	89120	469032	1
2025.10.27	620760.00	623840.00	614480.00	615920.00	78738	378181	1
2025.10.28	616460.00	625480.00	558000.00	604700.00	130123	674292	1
2025.10.29	607720.00	608880.00	586860.00	598360.00	122439	735982	1
2025.10.30	601696.94	601982.49	582626.21	588480.00	121266	687174	1
2025.10.31	599200.00	606440.00	591120.00	596200.00	96197	567110	1
2025.11.03	586620.00	589360.00	570320.00	579020.00	119716	629999	1
2025.11.04	568980.00	570560.00	542960.00	545600.00	192385	1057785	1
2025.11.05	556160.00	566340.00	553560.00	560980.00	120162	602729	1
2025.11.06	558460.00	558920.00	542540.00	544920.00	147769	797839	1
2025.11.07	542200.00	559220.00	536220.00	555640.00	148910	741803	1
2025.11.10	569500.00	571760.00	560900.00	562600.00	115983	600893	1
2025.11.11	561740.00	562760.00	544960.00	545600.00	114203	576282	1
2025.11.12	556640.00	559860.00	537260.00	541700.00	136476	760742	1
2025.11.13	548580.00	550480.00	520940.00	523500.00	166079	977251	1
2025.11.14	512580.00	517500.00	501080.00	503800.00	166563	927384	1
2025.11.17	509020.00	512060.00	488460.00	490020.00	177243	942951	1
2025.11.18	490300.00	501580.00	486000.00	496560.00	151691	744174	1
2025.11.19	489000.00	493980.00	474200.00	480760.00	156764	910832	1
2025.11.21	444000.00	463260.00	435420.00	460300.00	186094	1062563	1
2025.11.24	466780.00	481980.00	460820.00	480500.00	152568	828154	1
2025.11.25	472200.00	475320.00	463880.00	470700.00	147458	857977	1
2025.11.26	468760.00	483480.00	464760.00	481820.00	138076	772502	1
2025.11.27	494135.14	499031.37	489360.30	496300.00	103147	517724	1
2025.11.28	498300.00	502640.00	487320.00	491680.00	121248	655207	1
2025.12.01	465000.00	468240.00	453260.00	466100.00	156551	844715	1
2025.12.02	473060.00	497440.00	471360.00	492100.00	142479	856586	1
2025.12.03	499860.00	501880.00	491360.00	500440.00	143824	791074	1
2025.12.04	497980.00	499420.00	487200.00	494440.00	129140	721470	1
2025.12.05	489420.00	493300.00	480840.00	490460.00	142395	853400	1
2025.12.08	503000.00	504580.00	489980.00	498360.00	109935	579142	1
2025.12.09	496140.00	518320.00	493960.00	510160.00	131709	685863	1
2025.12.10	504600.00	519640.00	502040.00	508680.00	118631	635739	1
2025.12.11	497160.00	508540.00	485740.00	508540.00	102075	583022	1
2025.12.12	506120.00	506120.00	487180.00	491620.00	91095	546248	1
2025.12.15	486480.00	487940.00	463940.00	467560.00	123403	681196	1
2025.12.16	474020.00	486820.00	470540.00	484820.00	102002	537721	1
2025.12.17	481940.00	499080.00	472040.00	474740.00	137674	795746	1
