<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.11.06	113.39	114.14	104.65	108.55	636745	66522104	1
2022.11.13	109.58	110.43	103.53	104.85	472368	51995822	1
2022.11.20	106.00	108.86	104.11	105.07	493154	39980069	1
2022.11.27	105.14	109.90	104.64	107.95	439000	37365781	1
2022.12.04	107.70	108.15	103.19	103.90	349981	30282207	1
2022.12.11	103.75	103.97	98.30	99.40	774165	68952735	1
2022.12.18	99.90	106.26	99.45	106.00	515421	47684820	1
2022.12.25	105.66	107.50	103.71	105.95	214189	22153560	1
2023.01.01	104.36	105.80	100.35	105.50	359037	42507001	1
2023.01.08	104.94	109.19	104.68	107.35	538496	28007797	1
2023.01.15	106.95	109.60	105.13	108.45	296249	33606630	1
2023.01.22	108.89	111.10	107.88	108.40	280607	26229969	1
2023.01.29	109.01	109.96	104.54	104.87	315177	36448607	1
2023.02.05	104.88	106.62	103.70	104.75	381569	30595769	1
2023.02.12	104.36	108.00	103.62	105.56	396272	36461261	1
2023.02.19	104.09	105.18	101.87	102.38	182462	21874182	1
2023.02.26	102.71	103.34	99.71	100.42	389279	34424814	1
2023.03.05	100.83	103.30	99.77	100.21	444665	40813498	1
2023.03.12	99.21	100.83	97.42	98.85	421687	43420446	1
2023.03.19	98.77	99.00	93.81	95.86	501351	39948795	1
2023.03.26	96.65	100.76	95.84	98.49	309590	39239006	1
2023.04.02	98.75	99.75	96.71	97.59	243978	21274400	1
2023.04.09	98.11	104.89	98.08	103.04	324307	40698286	1
2023.04.16	102.87	103.45	99.74	101.00	250244	29964952	1
2023.04.23	100.53	101.50	98.71	100.90	389165	33065069	1
2023.04.30	100.60	101.91	97.76	101.91	397717	33985349	1
2023.05.07	103.00	105.29	102.13	105.05	301202	41346143	1
2023.05.14	105.33	107.68	104.57	107.16	362730	56445688	1
2023.05.21	107.50	108.17	105.04	107.51	293338	38003820	1
2023.05.28	107.25	109.44	104.78	109.02	391802	34979271	1
2023.06.04	109.32	113.85	108.11	113.21	282229	27190261	1
2023.06.11	113.59	115.91	112.66	114.90	356862	46741136	1
2023.06.18	114.70	116.78	114.27	115.31	296150	25074774	1
2023.06.25	115.29	115.77	112.88	114.17	275289	32916390	1
2023.07.02	114.90	118.06	113.43	115.19	279287	27371174	1
2023.07.09	114.66	116.02	112.04	113.96	338641	42454023	1
2023.07.16	113.39	116.65	112.93	116.40	306761	33188936	1
2023.07.23	116.47	119.17	115.95	116.52	283230	29174932	1
2023.07.30	117.23	118.80	115.46	115.66	300680	27440017	1
2023.08.06	115.84	116.35	113.75	114.25	296913	31365724	1
2023.08.13	113.98	114.12	110.99	111.70	328898	36762522	1
2023.08.20	111.74	116.10	110.58	112.15	269197	31311976	1
2023.08.27	112.53	115.13	112.21	114.05	287979	24812957	1
2023.09.03	114.07	114.85	111.27	111.66	162034	14843041	1
2023.09.10	112.64	116.04	112.10	114.92	280895	27071017	1
2023.09.17	115.27	116.00	112.30	112.61	306368	31401038	1
2023.09.24	112.11	113.39	109.89	113.15	275648	21845485	1
2023.10.01	112.64	113.14	108.19	110.66	252337	22952936	1
2023.10.08	110.18	113.55	109.95	112.06	170622	13490627	1
2023.10.15	113.00	113.35	109.08	109.50	280757	25982664	1
2023.10.22	109.10	111.82	108.77	109.85	231328	20125964	1
2023.10.29	110.30	114.90	108.68	114.75	225783	21901029	1
2023.11.05	115.00	117.19	114.38	117.01	332928	28098977	1
2023.11.12	116.50	121.60	116.19	121.10	301551	27251700	1
2023.11.19	121.44	123.05	121.15	121.66	548655	28829513	1
2023.11.26	122.03	124.37	121.12	124.24	322931	21467384	1
2023.12.03	123.50	123.96	121.72	123.31	285726	17082590	1
2023.12.10	122.90	127.78	122.22	126.28	348952	26997784	1
2023.12.17	126.85	129.17	126.62	128.94	254432	17921411	1
2023.12.24	129.02	130.52	129.02	130.39	149083	14510948	1
2023.12.31	129.80	129.89	126.71	128.25	237207	19788198	1
2024.01.07	127.48	128.62	126.07	127.23	240843	25234274	1
2024.01.14	126.61	127.82	122.80	123.84	452602	36549529	1
2024.01.21	123.80	125.66	122.17	125.08	299970	23440980	1
2024.01.28	124.82	125.81	122.90	123.32	309359	34338495	1
2024.02.04	123.57	126.88	122.68	124.13	298187	26451023	1
2024.02.11	123.90	125.28	122.93	124.88	188696	19739157	1
2024.02.18	124.50	126.97	124.29	125.61	353381	25691079	1
2024.02.25	125.30	127.84	124.91	125.24	339017	24415346	1
2024.03.03	125.27	125.54	122.15	123.26	403024	24480362	1
2024.03.10	122.50	124.79	122.32	122.87	432956	24038212	1
2024.03.17	123.38	125.64	122.60	123.21	303653	24552296	1
2024.03.24	123.29	124.66	122.52	124.33	251056	14170520	1
2024.03.31	124.68	125.86	122.50	122.90	329173	23507857	1
2024.04.07	123.60	126.21	121.95	122.12	488162	31961837	1
2024.04.14	122.27	122.59	119.81	121.52	740317	34447564	1
2024.04.21	121.72	123.13	120.05	122.83	215756	21494720	1
2024.04.28	122.94	125.12	122.16	124.95	214066	21095324	1
2024.05.05	124.72	125.97	123.65	124.01	263585	20234425	1
2024.05.12	124.26	125.39	123.34	124.37	308233	28848725	1
2024.05.19	124.20	124.99	120.63	120.64	645172	19068887	1
2024.05.26	120.87	121.82	118.36	118.66	315275	17822685	1
