<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.06.02	108.35	108.75	107.20	108.43	52022	4658618	1
2022.06.03	107.90	107.90	106.97	107.48	106696	8974759	1
2022.06.06	107.61	108.02	106.06	106.42	40916	4548920	1
2022.06.07	105.88	106.54	105.47	106.15	106589	5187881	1
2022.06.08	105.23	106.25	104.19	104.60	126919	7977701	1
2022.06.09	104.19	104.74	103.23	103.68	71699	8339926	1
2022.06.10	102.40	102.55	100.87	101.82	121219	10689386	1
2022.06.13	100.10	100.23	98.07	99.12	146330	15056055	1
2022.06.14	99.22	99.58	97.63	98.36	102781	9883506	1
2022.06.15	99.61	100.32	98.30	99.38	94946	10162443	1
2022.06.17	97.59	97.59	94.91	96.21	169504	21181660	1
2022.06.20	96.20	96.87	94.83	96.29	86777	7181682	1
2022.06.21	97.07	97.49	95.60	96.40	71349	6969384	1
2022.06.22	95.24	96.89	94.65	96.03	104422	8039681	1
2022.06.23	96.46	96.79	94.38	94.66	58019	6550564	1
2022.06.24	95.55	95.89	94.51	95.47	105624	14391569	1
2022.06.27	96.06	97.66	95.80	97.35	75395	8069617	1
2022.06.28	98.07	98.63	96.37	97.05	78542	7650747	1
2022.06.29	97.37	97.66	95.65	96.00	67343	4838219	1
2022.06.30	94.50	95.79	94.26	95.00	70707	8318924	1
2022.07.01	94.36	95.85	93.81	95.63	82354	7251049	1
2022.07.04	94.99	95.87	94.75	95.20	48107	6036832	1
2022.07.05	94.42	94.92	93.06	94.80	89813	7250109	1
2022.07.06	94.58	95.66	93.97	95.42	62294	6343177	1
2022.07.07	96.62	97.91	96.58	97.38	53282	8341836	1
2022.07.08	97.52	98.00	96.39	96.88	73382	6332439	1
2022.07.11	95.36	95.76	94.35	94.80	64183	7295507	1
2022.07.12	94.27	95.29	93.83	94.90	88922	8193143	1
2022.07.13	94.20	95.45	93.95	94.51	57207	5761578	1
2022.07.14	93.03	93.11	92.09	92.55	78996	9586446	1
2022.07.15	92.88	93.58	91.90	93.27	65750	7759815	1
2022.07.18	94.00	94.82	93.20	93.37	94415	8243224	1
2022.07.19	93.72	94.84	93.57	94.70	70173	12414026	1
2022.07.20	94.20	94.95	93.84	94.95	54985	7547777	1
2022.07.21	93.99	95.53	93.62	95.35	81278	7730274	1
2022.07.22	95.79	96.16	94.82	95.42	39276	5021331	1
2022.07.25	96.31	96.93	96.03	96.75	58488	4176866	1
2022.07.26	96.88	97.16	95.85	96.15	53216	4751759	1
2022.07.27	96.77	97.94	96.46	97.83	41614	4281514	1
2022.07.28	98.01	99.10	97.42	99.10	58988	6319502	1
2022.07.29	99.29	100.38	98.95	99.30	68661	5946568	1
2022.08.01	99.27	99.68	98.14	98.56	73771	6620344	1
2022.08.02	98.30	100.02	98.11	99.53	55813	5137849	1
2022.08.03	99.77	100.20	99.15	100.20	95925	5335811	1
2022.08.04	100.96	102.48	100.93	102.48	111104	8660272	1
2022.08.05	102.35	103.41	101.76	102.74	115226	9960088	1
2022.08.08	103.35	104.80	103.29	104.80	109448	9831028	1
2022.08.09	105.44	105.44	104.04	105.05	78345	5355366	1
2022.08.10	106.21	106.56	105.59	106.56	109194	9042577	1
2022.08.11	107.31	107.55	105.76	105.88	96038	10520873	1
2022.08.12	106.77	108.64	106.31	108.64	89324	8630365	1
2022.08.15	107.55	109.24	107.10	108.97	68061	7771546	1
2022.08.16	109.00	109.76	108.75	109.76	52917	5692152	1
2022.08.17	108.70	110.22	108.62	109.99	92426	9360935	1
2022.08.18	110.16	110.31	109.35	109.94	56662	5273329	1
2022.08.19	108.82	109.00	107.35	107.53	80287	11321464	1
2022.08.22	106.76	107.15	106.09	106.73	102406	8236232	1
2022.08.23	107.04	109.10	107.04	109.10	75941	8724611	1
2022.08.24	108.93	109.90	108.66	109.18	65271	4755150	1
2022.08.25	109.83	110.09	108.83	109.60	38093	3238435	1
2022.08.26	110.08	110.19	108.00	108.36	96263	6835703	1
2022.08.29	107.91	109.29	107.86	108.40	69740	7288137	1
2022.08.30	108.70	108.90	106.25	106.40	64420	4957715	1
2022.08.31	106.83	107.52	105.70	105.83	160669	5116217	1
2022.09.01	106.07	106.59	104.43	106.59	73385	4561281	1
2022.09.02	107.36	108.42	106.71	107.09	59445	6381536	1
2022.09.05	108.27	108.69	107.78	108.45	31665	4094554	1
2022.09.06	106.93	107.08	105.51	105.95	56245	4461050	1
2022.09.08	106.11	106.91	104.76	106.18	49577	6299697	1
