<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.07.24	5251.723	5263.264	5197.865	5204.460	675661	2606928	1
2023.07.25	5200.063	5236.885	5190.721	5230.840	686907	2600065	1
2023.07.26	5217.650	5229.740	5193.469	5208.857	636155	2420200	1
2023.07.27	5195.117	5234.687	5178.630	5216.001	754122	2931834	1
2023.07.28	5198.415	5214.352	5162.692	5206.109	661177	2550143	1
2023.07.31	5203.923	5233.981	5182.609	5195.178	561484	2199955	1
2023.08.01	5197.365	5276.609	5197.365	5268.412	706033	2709925	1
2023.08.02	5276.063	5299.016	5254.202	5286.447	685255	2549493	1
2023.08.03	5324.156	5408.320	5320.877	5405.040	845636	3345324	1
2023.08.04	5405.040	5409.413	5323.610	5353.668	744962	2878157	1
2023.08.07	5350.389	5396.843	5346.017	5381.540	557440	2109753	1
2023.08.08	5415.424	5424.715	5367.877	5380.994	737492	2707404	1
2023.08.09	5371.703	5395.203	5349.296	5379.901	759287	2756039	1
2023.08.10	5366.238	5372.250	5312.679	5369.517	799088	2970616	1
2023.08.11	5349.296	5387.005	5335.086	5384.273	719845	2553558	1
2023.08.14	5390.831	5452.587	5387.005	5441.657	689742	2663017	1
2023.08.15	5457.506	5480.460	5437.831	5466.797	795345	2938982	1
2023.08.16	5454.773	5472.808	5426.901	5468.436	809898	2982621	1
2023.08.17	5450.948	5477.727	5436.192	5455.320	784741	2709177	1
2023.08.18	5456.959	5481.006	5432.366	5445.483	699338	2419926	1
2023.08.21	5443.297	5473.355	5431.273	5456.413	597301	2048920	1
2023.08.22	5437.831	5437.831	5393.564	5408.866	698026	2467209	1
2023.08.23	5394.110	5409.413	5304.482	5317.598	793453	3153988	1
2023.08.24	5332.900	5349.296	5314.319	5344.924	674441	2465254	1
2023.08.25	5341.645	5362.959	5315.412	5330.714	779587	2846457	1
2023.08.28	5334.540	5372.250	5321.970	5332.354	610431	2089495	1
2023.08.29	5337.273	5361.319	5303.389	5309.400	841913	3156421	1
2023.08.30	5314.319	5350.389	5294.644	5350.389	698793	2831359	1
2023.08.31	5339.500	5424.980	5319.355	5416.813	905113	3934160	1
2023.09.01	5403.201	5414.090	5357.467	5409.190	800038	2843848	1
2023.09.04	5395.579	5404.290	5365.634	5399.935	468884	1708814	1
2023.09.05	5424.980	5450.025	5416.268	5430.969	699245	2640212	1
2023.09.06	5438.047	5459.825	5415.179	5443.491	738855	2817180	1
2023.09.08	5446.214	5457.103	5426.069	5450.025	554891	1957030	1
2023.09.11	5419.535	5430.969	5374.345	5383.601	612495	2438325	1
2023.09.12	5398.846	5423.891	5387.957	5401.568	583902	2128060	1
2023.09.13	5409.190	5421.713	5342.222	5366.178	723154	2837474	1
2023.09.14	5367.812	5372.712	5307.377	5313.910	750499	2926901	1
2023.09.15	5311.188	5324.799	5303.021	5313.910	633800	2497459	1
2023.09.18	5318.266	5322.077	5281.787	5299.210	568184	2351639	1
2023.09.19	5287.232	5317.721	5279.065	5309.010	592307	2371668	1
